var1,var2,var3,var4,var5,var6,var7,var8
3,1,0x23,0x1,38,-1,0,0
3,1,0x23,0x1,38,-1,0,0
3,1,0x23,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
3,1,0x0,0x1,38,-1,0,0
3,1,0x1,0x1,38,-1,0,0
