var1,var2,var3,var4
261843648,0,0x1,1000
261849942,2,0x0,1000
261849949,1,0x0,1000
261850777,2,0x0,1000
261851646,2,0x0,1000
261866434,2,0x0,1000
261867236,2,0x0,1000
261867854,2,0x0,1000
261868506,2,0x0,1000
261870094,2,0x0,1000
261870612,2,0x0,1000
261871547,2,0x0,1000
261872249,2,0x0,1000
261872817,2,0x0,1000
261874138,2,0x0,1000
261875239,2,0x0,1000
261879585,2,0x0,1000
261880856,2,0x0,1000
261881405,2,0x0,1000
261883596,2,0x0,1000
261884464,2,0x0,1000
261885300,2,0x0,1000
261885816,2,0x0,1000
261886520,2,0x0,1000
261887070,2,0x0,1000
261949797,2,0x0,1000
261949805,1,0x0,1000
261950783,2,0x0,1000
261950787,1,0x0,1000
261950887,0,0x0,1000
261950909,0,0x0,1000
261961476,2,0x0,1000
261963848,2,0x0,1000
261967011,2,0x0,1000
261968328,2,0x0,1000
261968928,2,0x0,1000
261969446,2,0x0,1000
261970966,2,0x0,1000
261972153,2,0x0,1000
261972159,1,0x0,1000
261972223,0,0x0,1000
261972262,0,0x0,1000
261973289,2,0x0,1000
261973293,1,0x0,1000
261973328,0,0x0,1000
261973352,0,0x0,1000
261973840,2,0x0,1000
261975077,2,0x0,1000
261976180,2,0x0,1000
261976915,2,0x0,1000
261977717,2,0x0,1000
261978352,2,0x0,1000
261979355,2,0x0,1000
261980307,2,0x0,1000
261980925,2,0x0,1000
261981426,2,0x0,1000
261982379,2,0x0,1000
261983047,2,0x0,1000
261983733,2,0x0,1000
261984484,2,0x0,1000
261985554,2,0x0,1000
261986105,2,0x0,1000
261986874,2,0x0,1000
261987391,2,0x0,1000
261988728,2,0x0,1000
261988739,1,0x0,1000
261988799,0,0x0,1000
261988822,0,0x0,1000
261991304,2,0x0,1000
