var1,var2
222.166.160.184,/var/www/html/
63.13.186.196,/var/www/html/
147.31.138.75,/var/www/html/
207.203.80.15,/var/www/html/
218.76.139.20,/var/www/html/
24.147.151.74,/var/www/html/
211.141.93.88,/var/www/html/
216.127.124.16,/var/www/html/
208.51.151.210,/var/www/html/
65.68.235.27,/var/www/html/
4.245.93.87,/var/www/html/
67.154.58.130,/var/www/html/
24.83.37.136,/var/www/html/
58.225.62.140,/var/www/html/
61.138.216.82,/var/www/html/
218.39.132.175,/var/www/html/
125.30.38.52,/var/www/html/
61.37.222.240,/var/www/html/
218.62.18.218,/var/www/html/
211.62.201.48,/var/www/html/
218.207.61.7,/var/www/html/
168.20.198.21,/var/www/html/
221.232.178.24,/var/www/html/
207.12.15.211,/var/www/html/
141.153.150.164,/var/www/html/
198.232.168.9,/var/www/html/
67.166.248.235,/var/www/html/
141.154.18.244,/var/www/html/
216.216.185.130,/var/www/html/
218.75.106.250,/var/www/html/
68.228.3.15,/var/www/html/
61.220.139.68,/var/www/html/
