var1,var2,var3
10722,0,0
10740,0,0
10744,0,0
10700,0,0
10732,0,0
10655,0,0
10650,0,0
10686,0,0
10674,0,0
10722,0,0
10730,0,0
10686,0,0
10692,0,0
10660,0,0
10752,0,0
10732,0,0
10676,0,0
10752,0,0
10728,0,0
10712,0,0
10718,0,0
10722,0,0
10644,0,0
10738,0,0
10646,0,0
10710,0,0
10706,0,0
10765,0,0
10698,0,0
10744,0,0
10740,0,0
10684,0,0
10652,0,0
1966,0,0
10738,0,0
10714,0,0
10718,0,0
10698,0,0
10644,0,0
10752,0,0
10698,0,0
10666,0,0
10738,0,0
10744,0,0
10663,0,0
10766,0,0
10722,0,0
10680,0,0
10740,0,0
10684,0,0
10616,0,0
10754,0,0
10668,0,0
10708,0,0
10676,0,0
10640,0,0
10666,0,0
10676,0,0
10722,0,0
10684,0,0
10676,0,0
10714,0,0
10712,0,0
10636,0,0
10664,0,0
10730,0,0
10722,0,0
10722,0,0
10736,0,0
720,0,0
720,0,0
