var1,var2
003a90fc,00b360e8
003a90dc,00b35148
003a90fc,00b35db8
003a9108,00c07348
003a9294,00c06c48
003a92a0,00b36898
003a9260,00efe838
003a9260,00efcbc8
003a929c,00efc768
003a929c,00efd448
003a92a0,00efd358
003a92a0,00fcc6b8
003a92a0,00efd518
003a9254,00f05688
003a9254,00f07a88
003a9260,012924f8
003a9260,0128f2f8
003a9260,0128fc88
003a9260,01290878
003a929c,01291228
003a929c,01291708
003a92a0,013611f8
003a92a0,012902f8
003a9260,00ef83b8
003a9254,01299f08
003a9260,00ef6c38
003a9258,0136bd38
003a9260,012979b8
003a9260,0129a9a8
003a9260,01299e48
003a929c,0136b2d8
003a9260,00e24bd8
003a9260,00f2a468
003a92a0,0129a488
003a9260,00f29b68
003a926c,00f2b078
00149fc0,00739d98
0014a150,0072b9f8
0014a150,00719fc8
0014a150,0098d458
0014a150,0098e178
0014a150,00998588
0014a150,00991c88
00149ee0,009a2788
00149f88,0099be48
0014a150,00a53af8
0014a150,009b9288
0014a150,009a50f8
0014a150,0098cdc8
00149ee0,0099e5e8
0014a150,00991c88
0014a150,009829b8
00149f88,00996f88
0014a1e4,0099e6c8
0014a150,009a2998
00106210,0244c1dc
00106210,0244c1dc
00106210,0244c20c
00106228,0244c1ec
00106210,0244c20c
00106210,0244c20c
00106228,0244c1ec
00106228,0244c1ec
00106228,0244c21c
001061dc,0244c22c
001061dc,0244c22c
001061dc,0244c25c
001061dc,0244c22c
00106228,0244c1ec
00106210,0244c20c
00106228,0244c1ec
001061dc,0244c22c
00105ea0,0244c28c
00105e94,02f5883c
001061dc,0244c22c
001061dc,0244c28c
00106210,0244c20c
00106210,0244c1dc
00106228,0244c21c
00106210,0244c1dc
001061dc,0244c25c
001061dc,0244c22c
00106228,0244c21c
001061dc,0244c28c
001061dc,0244c28c
00106210,0244c23c
00106210,0244c23c
00106210,0244c26c
00106228,0244c24c
00106228,0244c27c
00106228,0244c27c
00106228,0244c27c
00106568,02494bbc
00106580,02494bcc
00106568,02494bbc
00106580,02494bcc
00106534,02494c0c
00106534,02494c0c
00106580,02494bfc
00106568,02494bec
00106568,02494bec
00106534,02494c3c
00106580,02494bfc
00106534,02494c3c
00106534,02494c3c
00106580,02494c2c
00106580,02494c2c
00106568,045e140c
00106580,045e141c
00106580,045e141c
00106580,045e141c
00106534,045e145c
00106568,045e147c
00106580,045e148c
00106570,0245a10c
001061fc,02f6676c
00106588,0245a17c
0010662c,0245ccfc
00106bd8,0245ce0c
00106834,0245ccfc
00106bd8,0245cd8c
0010682c,0245ccfc
00106b8c,0245ce8c
00106bc0,0245cd7c
00106bd8,0245cd9c
00106bd8,0245ceec
0010681c,02f692fc
00106b8c,0245cf5c
00106bc0,0245cdec
00106600,0245ccfc
00106bd8,0245cf0c
00106834,0245cd0c
00106bd8,0245cf3c
0010686c,02f6930c
0010686c,02f6951c
00106704,0245b80c
0010639c,0245b71c
00106704,0245b83c
00106704,0245d57c
001063a0,02f67e4c
001064fc,0245b64c
0010671c,0245b72c
00106390,02f67cfc
00106704,0245b6bc
00106168,0245b64c
0010635c,0245b62c
00106704,0245b77c
001064fc,0245b64c
001061cc,02f6667c
00105fd4,0245a09c
00105fd4,0245a09c
001061e4,0245a09c
001061ec,02f6668c
001061ec,02f6668c
0010650c,0246a95c
00106988,02f7bd6c
00106cf8,0246f9fc
001069a8,02f7bd7c
001066ac,0252524c
001066c4,0252528c
001066c4,025251fc
00106678,0252523c
001007b8,065b4c7c
001007a8,065b4cac
001066ac,0252523c
001066c4,0252527c
001066c4,0252523c
001066ac,025252bc
001066c4,0252529c
00106570,0245a5bc
00106570,0245a5ec
0010653c,0245a63c
001061d4,024696cc
00106348,024696bc
00106204,02f75edc
00105e88,02f6436c
00105e84,0244f29c
001061e8,0247012c
001061e8,0247015c
00106200,0247016c
001061b4,024701dc
001061e8,0247015c
00106200,0247019c
00105e84,024701dc
00106200,0247019c
001061e8,0247015c
001061e8,0247018c
001061e8,0247015c
001061e8,0247012c
001061b4,0247017c
001061b4,024701ac
001061b4,0247017c
00106200,0247019c
001061e8,0247015c
001061b4,0247017c
00106ba0,0246de3c
00106b98,0246dd9c
00106c0c,0246de1c
00106448,0246dbbc
00106448,0246db5c
00106448,0246dbec
00106288,02f7a0fc
00113890,0fee9c3c
00113898,0fee9c4c
00113898,0fee9c4c
00106274,0246da8c
00106448,0246dacc
00106298,02f7a18c
