var1,var2,var3,var4,var5
5792489080791696128,10.251.30.6,33145,10.251.30.6,50010
1724757848743533110,10.251.111.130,49851,10.251.111.130,50010
-5623176793330377570,10.251.75.228,53725,10.251.75.228,50010
-28342503914935090,10.251.123.132,57542,10.251.123.132,50010
-5009020203888190378,10.251.199.19,52622,10.251.199.19,50010
2937758977269298350,10.251.194.129,37476,10.251.194.129,50010
-6276023454199613372,10.251.65.237,34085,10.251.65.237,50010
-6809181994368905854,10.250.17.225,51754,10.250.17.225,50010
-774267833966018354,10.251.38.53,51057,10.251.38.53,50010
-3509323198988774369,10.250.6.214,52922,10.250.6.214,50010
8692428775973608797,10.250.10.213,56574,10.250.10.213,50010
-1798958443298220150,10.251.111.209,57419,10.251.111.209,50010
-7172347691639518373,10.251.111.37,35327,10.251.111.37,50010
-6412155847905320411,10.251.30.85,58995,10.251.30.85,50010
699651392443620263,10.251.70.5,34703,10.251.70.5,50010
-8788032532930439012,10.251.126.255,41104,10.251.126.255,50010
-1259190292740306590,10.251.65.203,36289,10.251.65.203,50010
-8562334328670278932,10.251.194.147,46714,10.251.194.147,50010
7654726977769174867,10.251.110.160,49990,10.251.110.160,50010
7061131805920430446,10.250.7.32,53397,10.250.7.32,50010
-9103764593642564543,10.251.43.115,46385,10.251.43.115,50010
-5217146995455608468,10.251.214.67,38871,10.251.214.67,50010
-522892190802801712,10.251.74.134,39584,10.251.74.134,50010
-6329494504520216748,10.251.25.237,39332,10.251.25.237,50010
-8255732027871411321,10.251.39.179,33950,10.251.39.179,50010
-8856628810470361280,10.250.5.237,41923,10.250.5.237,50010
3962600675982666210,10.251.123.195,37374,10.251.123.195,50010
-5135777574223073423,10.251.65.237,48648,10.251.65.237,50010
-8524274644018377752,10.251.42.16,33011,10.251.42.16,50010
-2015110815660478655,10.251.35.1,53344,10.251.35.1,50010
-6543889749770222531,10.251.107.98,56224,10.251.107.98,50010
5760391051658436046,10.251.42.84,59752,10.251.42.84,50010
4238127626194855481,10.250.11.100,59324,10.250.11.100,50010
7672124247291403094,10.251.66.3,55531,10.251.66.3,50010
-8227485321105019293,10.251.195.33,56999,10.251.195.33,50010
-6486714614940767660,10.250.11.53,48454,10.250.11.53,50010
148513789886825227,10.251.123.33,54308,10.251.123.33,50010
7229716389774599497,10.251.201.204,38310,10.251.201.204,50010
