var1,var2,var3,var4
10.251.73.220,50010,7128370237687728475,67108864
10.251.43.115,50010,3050920587428079149,67108864
10.251.203.80,50010,7888946331804732825,67108864
10.250.11.85,50010,2377150260128098806,67108864
10.251.110.8,50010,8015913224713045110,67108864
10.251.111.130,50010,4568434182693165548,67108864
10.251.74.79,50010,-4794867979917102672,67108864
10.251.38.197,50010,8763662564934652249,67108864
10.251.74.134,50010,7453815855294711849,67108864
10.250.7.244,50010,5165786360127153975,67108864
10.250.6.191,50010,673825774073966710,67108864
10.251.89.155,50010,8181993091797661153,67108864
10.251.106.50,50010,-29548654251973735,67108864
10.251.111.228,50010,-2480595760294717232,67108864
10.251.202.134,50010,2113880130496815041,3549917
10.251.110.8,50010,-1661553043410372067,67108864
10.251.106.50,50010,-2530087534157630851,67108864
10.251.198.196,50010,427714267500527780,67108864
10.251.107.19,50010,6093743385844975689,67108864
10.251.110.68,50010,1636660629634995787,67108864
10.251.75.79,50010,467589865104023338,67108864
10.251.31.85,50010,-7017553867379051457,67108864
10.251.197.226,50010,4585055992495043771,67108864
10.251.30.179,50010,4628142183191390143,67108864
10.250.5.237,50010,-476906696485288376,67108864
10.250.7.244,50010,-6956067134432991406,67108864
10.251.199.225,50010,7481361125021302112,67108864
10.251.107.19,50010,-3249711809227781266,67108864
10.250.6.4,50010,5114010683183383297,67108864
10.250.15.240,50010,-1055254430948037872,67108864
10.251.90.239,50010,-9069971851590882719,67108864
10.251.67.4,50010,-8924134715029713489,67108864
10.250.7.146,50010,278357163850888,67108864
10.251.39.242,50010,-4110733372292809607,67108864
10.251.199.86,50010,-9181958042427679309,67108864
10.251.106.37,50010,-4741127506068309449,67108864
10.251.25.237,50010,541463031152673662,67108864
10.251.71.146,50010,-6836642008179678048,67108864
10.251.214.18,50010,-7555801584297376435,67108864
10.251.26.177,50010,-5949883083428548093,67108864
10.251.75.79,50010,5210211633167259832,67108864
10.251.199.159,50010,-8558845834445970595,67108864
10.251.73.220,50010,3073404534069578592,67108864
10.251.203.129,50010,6002109944224710483,67108864
10.251.122.65,50010,5095897972833086609,67108864
10.251.201.204,50010,9072829105973334075,67108864
10.251.107.196,50010,6828121630547887549,67108864
10.251.111.130,50010,-5511630179413516751,67108864
10.251.122.38,50010,-5404881839098659470,67108864
10.250.11.194,50010,-1635752698830216319,67108864
10.251.197.161,50010,6080034782037237879,67108864
10.251.30.6,50010,446513188203036714,67108864
10.251.71.240,50010,-6330812010936261924,67108864
10.251.110.160,50010,-8077373411465716253,67108864
10.251.43.192,50010,6285161494041403917,67108864
10.251.43.210,50010,-6995454028444097802,67108864
10.250.6.4,50010,344934934043642744,67108864
10.250.7.230,50010,4984720043834039361,67108864
10.251.43.192,50010,325981833999429148,67108864
10.251.194.147,50010,5277338321835341602,67108864
10.251.75.49,50010,-3684613761619321001,67108864
10.250.15.198,50010,8894334107354324777,3549832
10.251.107.196,50010,4802366409699286298,3547304
10.251.39.144,50010,-6592952246351162022,67108864
10.250.14.224,50010,-3329473910909732817,67108864
10.251.214.67,50010,-6449891932967810179,67108864
10.251.110.68,50010,-3663004104512304532,67108864
10.251.39.179,50010,5491101910066444061,67108864
10.250.7.244,50010,-6582383997201802925,67108864
10.251.38.214,50010,-5363213609331400263,67108864
10.251.194.213,50010,-7030770677241078854,67108864
10.251.66.192,50010,-6068587951382721748,67108864
10.250.14.143,50010,8952177028039691517,67108864
10.250.13.240,50010,939695665085237271,67108864
10.251.127.47,50010,-3990317238913332296,67108864
10.251.67.113,50010,8988793695103110546,67108864
10.251.123.99,50010,-2600305892036631113,67108864
10.251.107.19,50010,-2144263949276079479,3547172
10.251.111.228,50010,-5012639079435860269,67108864
10.250.10.100,50010,1021828391502582165,67108864
10.251.38.53,50010,3202507081359904616,67108864
10.251.26.177,50010,-2402036602753320612,67108864
10.251.25.237,50010,-8145226289286457574,67108864
10.251.214.18,50010,5809900021002850724,67108864
10.251.127.191,50010,1589878256898761558,67108864
10.251.65.203,50010,-3949633496933134307,67108864
10.251.195.33,50010,512039711533506696,67108864
10.251.126.83,50010,5176855630425795751,67108864
10.251.111.37,50010,-7603740654202748654,67108864
10.251.197.226,50010,4307207852226914003,67108864
10.251.73.220,50010,3506875694435075421,67108864
10.251.202.134,50010,-4945182943709543868,67108864
10.251.215.192,50010,-4619809198345103330,67108864
10.251.201.204,50010,6125469222540396851,67108864
10.251.91.32,50010,5272761429354463572,67108864
10.251.66.3,50010,6547729596040509998,67108864
10.251.31.160,50010,3079488924320077240,67108864
10.251.66.102,50010,-5009274684359267777,67108864
10.251.123.195,50010,3911263675181899748,67108864
10.251.66.63,50010,-3170270010972115378,67108864
