var1,var2,var3
user/root/rand/_temporary/_task_200811092030_0001_m_000590_0,00590,-1727475099218615100
user/root/rand/_temporary/_task_200811092030_0001_m_000742_0,00742,-7878121102358435702
user/root/rand/_temporary/_task_200811092030_0001_m_000487_0,00487,-5319073033164653435
user/root/rand/_temporary/_task_200811092030_0001_m_001648_0,01648,2513940824125131775
user/root/rand/_temporary/_task_200811092030_0001_m_001866_0,01866,-1282453782148343691
user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0,00296,-6620182933895093708
user/root/sortrand/_temporary/_task_200811092030_0002_r_000230_0,00230,559204981722276126
user/root/sortrand/_temporary/_task_200811092030_0002_r_000169_0,00169,-7105305952901940477
user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0,00318,-207775976836691685
user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0,00318,2096692261399680562
user/root/sortrand/_temporary/_task_200811092030_0002_r_000138_0,00138,-210021574616486609
user/root/randtxt/_temporary/_task_200811092030_0003_m_000382_0,00382,8935202950442998446
user/root/randtxt/_temporary/_task_200811092030_0003_m_000392_0,00392,-3010126661650043258
user/root/randtxt/_temporary/_task_200811092030_0003_m_000675_0,00675,-7866582011201618766
user/root/randtxt/_temporary/_task_200811092030_0003_m_000705_0,00705,-9162090767925303921
user/root/randtxt/_temporary/_task_200811092030_0003_m_001095_0,01095,-7413910507260978729
user/root/randtxt/_temporary/_task_200811092030_0003_m_001365_0,01365,4841101867353115844
user/root/randtxt/_temporary/_task_200811092030_0003_m_001506_0,01506,1104376461837247304
user/root/randtxt/_temporary/_task_200811092030_0003_m_001597_0,01597,-591552904934794824
user/root/randtxt/_temporary/_task_200811092030_0003_m_001377_0,01377,-8408087700903896282
user/root/randtxt/_temporary/_task_200811092030_0003_m_001728_0,01728,-488298625688742454
user/root/randtxt/_temporary/_task_200811092030_0003_m_001661_0,01661,-1674094254141559552
user/root/randtxt/_temporary/_task_200811092030_0003_m_001630_0,01630,-8645365827804358878
user/root/randtxt/_temporary/_task_200811092030_0003_m_001817_0,01817,3291173852929756766
user/root/randtxt/_temporary/_task_200811092030_0003_m_001840_0,01840,4210124392039605712
user/root/randtxt/_temporary/_task_200811092030_0003_m_001976_0,01976,-8380267327243110056
user/root/rand/_temporary/_task_200811101024_0001_m_000206_0,00206,-2230892279625104430
user/root/rand/_temporary/_task_200811101024_0001_m_000097_0,00097,496376132244907301
user/root/rand/_temporary/_task_200811101024_0001_m_000056_0,00056,6140788650991100539
user/root/rand/_temporary/_task_200811101024_0001_m_000346_0,00346,-2016403519138424998
user/root/rand/_temporary/_task_200811101024_0001_m_000121_0,00121,-2073265102548439691
user/root/rand/_temporary/_task_200811101024_0001_m_000749_0,00749,-6909607053783233975
user/root/rand/_temporary/_task_200811101024_0001_m_001197_0,01197,-5255262711039499896
user/root/rand/_temporary/_task_200811101024_0001_m_001353_0,01353,5782729236964719738
user/root/rand/_temporary/_task_200811101024_0001_m_001495_0,01495,-7592643790414500555
user/root/rand/_temporary/_task_200811101024_0001_m_001587_0,01587,6374836031306809839
user/root/randtxt2/_temporary/_task_200811101024_0002_m_000299_0,00299,4984150784048864430
user/root/randtxt2/_temporary/_task_200811101024_0002_m_000054_0,00054,-4139299269696044017
user/root/randtxt2/_temporary/_task_200811101024_0002_m_001080_0,01080,2847401988110989655
user/root/randtxt2/_temporary/_task_200811101024_0002_m_000809_0,00809,7550266985912909372
user/root/randtxt2/_temporary/_task_200811101024_0002_m_001335_0,01335,-2541428592126088938
user/root/randtxt2/_temporary/_task_200811101024_0002_m_001968_1,01968,5106303344783117537
user/root/sortrand2/_temporary/_task_200811101024_0003_r_000258_0,00258,387577766066135394
user/root/sortrand2/_temporary/_task_200811101024_0003_r_000257_0,00257,-1732662141253491971
user/root/sortrand2/_temporary/_task_200811101024_0003_r_000210_0,00210,-7667417209393167541
user/root/sortrand2/_temporary/_task_200811101024_0003_r_000116_0,00116,6749232449432458524
user/root/sortrand2/_temporary/_task_200811101024_0003_r_000315_0,00315,-463998587096565542
user/root/sortrand2/_temporary/_task_200811101024_0003_r_000152_0,00152,-7603795308074215276
user/root/sortrand2/_temporary/_task_200811101024_0003_r_000344_0,00344,-2004529166303428909
user/root/rand3/_temporary/_task_200811101024_0005_m_000720_0,00720,-7988596544606686086
user/root/rand3/_temporary/_task_200811101024_0005_m_001091_0,01091,-4468645577339843974
user/root/rand3/_temporary/_task_200811101024_0005_m_001655_0,01655,-6802153775367591521
user/root/rand3/_temporary/_task_200811101024_0005_m_001824_0,01824,-4654885003331291932
user/root/randtxt3/_temporary/_task_200811101024_0007_m_000190_0,00190,641646158310569454
user/root/randtxt3/_temporary/_task_200811101024_0007_m_000374_0,00374,-1941312615450572331
user/root/randtxt3/_temporary/_task_200811101024_0007_m_000186_0,00186,-6754647973871368247
user/root/randtxt3/_temporary/_task_200811101024_0007_m_000585_0,00585,8561332122820208519
user/root/randtxt3/_temporary/_task_200811101024_0007_m_001560_0,01560,3376391218693716925
user/root/randtxt3/_temporary/_task_200811101024_0007_m_001230_0,01230,8708862520108736953
user/root/randtxt3/_temporary/_task_200811101024_0007_m_001662_0,01662,8196657927516481490
user/root/rand4/_temporary/_task_200811101024_0009_m_000115_0,00115,-17685631368401548
user/root/rand4/_temporary/_task_200811101024_0009_m_000176_0,00176,8924207394547472950
user/root/rand4/_temporary/_task_200811101024_0009_m_001061_0,01061,-749176535135404637
user/root/rand4/_temporary/_task_200811101024_0009_m_001281_0,01281,2084123600915946046
user/root/rand4/_temporary/_task_200811101024_0009_m_001398_0,01398,-7527506469734664572
user/root/rand4/_temporary/_task_200811101024_0009_m_001611_0,01611,285336326661214154
user/root/rand4/_temporary/_task_200811101024_0009_m_001574_0,01574,-7458279618877678162
user/root/randtxt4/_temporary/_task_200811101024_0010_m_000222_0,00222,3764836840384130740
user/root/randtxt4/_temporary/_task_200811101024_0010_m_000881_0,00881,-3091906986951252347
user/root/randtxt4/_temporary/_task_200811101024_0010_m_001716_0,01716,-2051219911597308805
user/root/rand5/_temporary/_task_200811101024_0011_m_000040_0,00040,1253515519191706153
user/root/rand5/_temporary/_task_200811101024_0011_m_000541_0,00541,-6841570414687342011
user/root/rand5/_temporary/_task_200811101024_0011_m_001408_0,01408,6601059760261449131
user/root/rand5/_temporary/_task_200811101024_0011_m_001730_0,01730,6400082566804273401
user/root/randtxt5/_temporary/_task_200811101024_0012_m_001192_0,01192,7720864196601815614
user/root/randtxt5/_temporary/_task_200811101024_0012_m_000900_0,00900,6690143611140381289
user/root/randtxt5/_temporary/_task_200811101024_0012_m_001314_0,01314,5872617224009342667
user/root/randtxt5/_temporary/_task_200811101024_0012_m_001529_0,01529,-826920518336899809
user/root/randtxt5/_temporary/_task_200811101024_0012_m_001726_0,01726,1858805942071850133
user/root/randtxt5/_temporary/_task_200811101024_0012_m_001554_0,01554,5183831565578080242
user/root/randtxt5/_temporary/_task_200811101024_0012_m_001709_0,01709,3776895047834644694
user/root/randtxt5/_temporary/_task_200811101024_0012_m_001709_0,01709,6054235487623373096
user/root/randtxt5/_temporary/_task_200811101024_0012_m_001635_0,01635,9034993982993401678
user/root/rand6/_temporary/_task_200811101024_0013_m_000153_0,00153,8596624696139957935
user/root/rand6/_temporary/_task_200811101024_0013_m_000197_0,00197,1832308388558480
user/root/rand6/_temporary/_task_200811101024_0013_m_000451_0,00451,-8744988583359134013
user/root/rand6/_temporary/_task_200811101024_0013_m_000079_0,00079,4225726256421431188
user/root/rand6/_temporary/_task_200811101024_0013_m_000077_0,00077,608957629753483727
user/root/rand6/_temporary/_task_200811101024_0013_m_000523_0,00523,-4801855948459616884
user/root/rand6/_temporary/_task_200811101024_0013_m_000997_0,00997,-500534246236005335
user/root/rand6/_temporary/_task_200811101024_0013_m_001195_0,01195,5708405953850477535
user/root/rand6/_temporary/_task_200811101024_0013_m_001850_0,01850,-4312777901444596370
user/root/rand6/_temporary/_task_200811101024_0013_m_001835_0,01835,6178964531181542074
user/root/rand6/_temporary/_task_200811101024_0013_m_001983_0,01983,8861349372992394289
user/root/rand6/_temporary/_task_200811101024_0013_m_002009_1,02009,-7367386750462511488
user/root/rand7/_temporary/_task_200811101024_0014_m_001049_0,01049,-1533191386601391937
user/root/rand7/_temporary/_task_200811101024_0014_m_000973_0,00973,5844313985011885282
user/root/rand7/_temporary/_task_200811101024_0014_m_001348_0,01348,4531288786306744275
user/root/rand7/_temporary/_task_200811101024_0014_m_001394_0,01394,-1101091099241306483
user/root/rand7/_temporary/_task_200811101024_0014_m_001736_0,01736,-3055230140330616860
user/root/rand7/_temporary/_task_200811101024_0014_m_001649_0,01649,-5581540863377925517
user/root/rand7/_temporary/_task_200811101024_0014_m_001940_0,01940,1910319264393500537
user/root/rand7/_temporary/_task_200811101024_0014_m_001642_0,01642,8215843708467112607
user/root/rand7/_temporary/_task_200811101024_0014_m_002007_0,02007,7908524857056299716
user/root/rand8/_temporary/_task_200811101024_0015_m_000480_0,00480,-5613694521084380933
user/root/rand8/_temporary/_task_200811101024_0015_m_000737_0,00737,5894088883762961800
user/root/rand8/_temporary/_task_200811101024_0015_m_000882_0,00882,-3152434225121092058
user/root/rand8/_temporary/_task_200811101024_0015_m_001033_0,01033,-8948316319329891645
user/root/rand8/_temporary/_task_200811101024_0015_m_000939_0,00939,-3522956055443924791
user/root/rand8/_temporary/_task_200811101024_0015_m_001294_0,01294,4214952053910973364
user/root/rand8/_temporary/_task_200811101024_0015_m_001425_0,01425,2630223487595425525
user/root/rand8/_temporary/_task_200811101024_0015_m_001757_0,01757,-5343533992609553091
user/root/rand8/_temporary/_task_200811101024_0015_m_001473_0,01473,-4390972361898978900
user/root/rand8/_temporary/_task_200811101024_0015_m_001860_0,01860,8716294289715825928
user/root/randtxt9/_temporary/_task_200811101024_0016_m_000347_0,00347,-8426741581316629266
