var1,var2
cluster_root_backup,96
root_domain,160
root3_domain,128
root9_domain,224
root10_domain,224
root28_domain,96
root30_domain,0
root26_domain,57
root29_local,28
root12_domain,11
root5_domain,196
root28_domain,187
root5_tmp,228
storage1422,245
storage343,11
root19_domain,114
root14_local,77
root6_domain,37
storage534,18
root12_tmp,11
root23_local,182
root14_tmp,45
storage211,4
root8_domain,167
root25_local,216
cluster_usr_backup,160
root_domain,128
root24_local,247
root18_tmp,241
root17_domain,240
sc_cluster_backup,0
cluster_usr_backup,192
cluster_var_backup,224
root1_tmp_backup,96
root1_domain_backup,96
root28_domain,219
