var1,var2,var3
com.apple.Addres,31229,1
com.apple.Addres,31328,1
com.apple.Addres,31328,1
com.apple.Addres,31346,1
com.apple.Addres,31432,1
com.apple.Addres,32885,1
com.apple.Addres,33119,1
com.apple.Addres,33493,1
com.apple.Addres,33508,1
com.apple.Addres,33540,1
com.apple.Addres,33959,1
com.apple.Addres,34268,1
com.apple.Addres,34309,1
com.apple.Addres,34326,1
com.apple.Addres,34429,1
com.apple.Addres,34685,1
com.apple.Addres,34738,1
com.apple.Addres,34830,1
com.apple.Addres,35110,1
com.apple.Addres,35110,1
com.apple.Addres,35150,1
com.apple.Addres,35229,1
com.apple.Addres,35250,1
com.apple.Addres,35286,1
com.apple.Addres,35773,1
com.apple.Addres,36325,1
com.apple.Addres,37034,1
com.apple.Addres,37204,1
com.apple.Addres,38449,1
