var1,var2,var3,var4,var5,var6,var7
42,evaluateCrazyIvan46,QQ,10018,19060,125.39.133.143,14000
42,evaluateCrazyIvan46,QQ,10018,20795,14.17.42.14,14000
42,evaluateCrazyIvan46,NeteaseMusic,17988,9008,103.251.128.144,80
42,evaluateCrazyIvan46,QQ,10018,21242,119.81.102.227,80
42,evaluateCrazyIvan46,QQ,10018,21519,184.105.67.74,443
42,evaluateCrazyIvan46,QQ,10018,22491,203.205.142.158,8080
42,evaluateCrazyIvan46,QQ,10018,22930,125.39.240.34,14000
42,evaluateCrazyIvan46,QQ,10018,24039,112.90.78.169,8080
42,evaluateCrazyIvan46,QQ,10018,24283,119.81.102.227,80
42,evaluateCrazyIvan46,QQ,10018,25995,121.51.36.148,443
