var1,var2,var3
b9000564-fe1a-409b-b8cc-1e88b294cd1d,1,03
96abccce-8d1f-4e07-b6d1-4b2ab87e23b4,1,11
b562ef10-ba2d-48ae-bf4a-18666cba4a51,1,05
78dc1847-8848-49cc-933e-9239b12c9dcf,1,02
95960536-049b-41f6-9049-05fc479b6a7c,1,00
7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5,0,99
af5f7392-f7d4-4298-b647-c98924c64aa1,1,01
ae3a1b5d-eec1-45bb-b76a-c59d83b1471f,1,02
43204226-2f87-4da7-b7ee-4d20cc66e846,1,01
fecdd5a9-3ca0-4c82-9336-63b7774f738e,1,04
63a0d960-70b6-44c6-b606-491478a5cadf,1,04
d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c,1,02
17288ea8-cbf4-4f0e-94fe-853fd2735f29,1,00
70c1714b-c11b-4c88-b300-239afe1f5ff8,0,99
bf8c824d-f099-4433-a41e-e3da7578262e,1,00
be793e89-2cc3-4f99-9884-9c6a624a84bc,1,01
a015cf14-84bb-4156-a48d-7c4824ac7a9d,1,04
d96a117b-0193-4549-bdcc-63b917273d1d,1,03
d6b7bd36-2943-4363-9235-fffdd89ea40e,1,01
127e769a-4fe6-4548-93b1-513ac51e0452,1,00
c62f4f25-982c-4ea2-b5e4-93000edfcfbf,1,02
