var1,var2,var3,var4,var5,var6
e3871ffd,5cd5,4287,bddd,3529f7b59515,b9000564-fe1a-409b-b8cc-1e88b294cd1d
a208479c,c0e3,4730,a5a0,d75e8afd0252,96abccce-8d1f-4e07-b6d1-4b2ab87e23b4
d1ce4c5a,2811,41c3,8a5a,39f9e6defcb8,b562ef10-ba2d-48ae-bf4a-18666cba4a51
b26c4935,6377,4e96,9ba1,ec6985d42d5d,78dc1847-8848-49cc-933e-9239b12c9dcf
1cf11429,1563,4f6c,823c,91ba6e0f6675,95960536-049b-41f6-9049-05fc479b6a7c
85754923,baff,45ad,9e35,a3055c898234,7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5
7bdba89d,dd80,489c,ab06,11d494c5c478,af5f7392-f7d4-4298-b647-c98924c64aa1
98dbd0a6,013e,4cd9,9986,fa32e5d6dd32,ae3a1b5d-eec1-45bb-b76a-c59d83b1471f
60df1c66,a513,4973,aeed,095809a52794,43204226-2f87-4da7-b7ee-4d20cc66e846
8b683414,2896,4251,aa05,980752c9b9b3,fecdd5a9-3ca0-4c82-9336-63b7774f738e
e1bf6353,ae58,4e46,b2d1,65a69b992bed,63a0d960-70b6-44c6-b606-491478a5cadf
f53e6f35,05f7,4896,9abf,6df58d3e69b8,d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c
899a49ed,0154,4308,949e,f59ac7acc66d,17288ea8-cbf4-4f0e-94fe-853fd2735f29
1bb8c7a3,effa,4568,8cf7,2b9a55011df9,70c1714b-c11b-4c88-b300-239afe1f5ff8
5c0b217a,68a9,46d1,8936,23c5688aa673,bf8c824d-f099-4433-a41e-e3da7578262e
418c107f,95d6,4655,ae6b,90bca57d9a71,be793e89-2cc3-4f99-9884-9c6a624a84bc
72791ba0,33ef,44f2,9d88,d7c8f313cb46,a015cf14-84bb-4156-a48d-7c4824ac7a9d
a444c98d,73cb,4ef8,b9c8,dbc1c4a7bd5c,d96a117b-0193-4549-bdcc-63b917273d1d
0b72aca0,102e,4421,8ff3,2902d8353ff0,d6b7bd36-2943-4363-9235-fffdd89ea40e
b25f912d,d8bd,4332,b55f,8e244fe36c7c,127e769a-4fe6-4548-93b1-513ac51e0452
b73a8d80,ce9e,49ff,bb0d,a1b8571f5e26,c62f4f25-982c-4ea2-b5e4-93000edfcfbf
1771f0af,aae8,4b03,97c9,a7bc9c5e4bb7,faf974ea-cba5-4e1b-93f4-3a3bc606006f
