var1,var2,var3,var4,var5,var6
223.167.104.147,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
mtalk.google.com,5228,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
www.google.com,443,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
awqiizxequsixgr,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
www.baidu.com,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
c.baidu.com,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
s1.bdstatic.com,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
s1.bdstatic.com,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
ss.bdimg.com,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
ss.bdimg.com,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
ss.bdimg.com,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
clients4.google.com,443,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
bolt.dropbox.com,443,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
wpad,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
www.qq.com,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
203.205.151.204,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
get.sogou.com,80,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
120.204.0.139,8080,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
101.226.211.46,8080,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
client.dropbox.com,443,proxy.cse.cuhk.edu.hk,5070,proxy.cse.cuhk.edu.hk,11001
