var1,var2,var3,var4,var5
formi.baidu.com,843,proxy.cse.cuhk.edu.hk,5070,403
127.0.0.1,135,proxy.cse.cuhk.edu.hk,5070,403
127.0.0.1,135,proxy.cse.cuhk.edu.hk,5070,403
203.205.129.102,8080,proxy.cse.cuhk.edu.hk,5070,403
mtalk.google.com,5228,proxy.cse.cuhk.edu.hk,5070,403
update.hicloud.com,8180,proxy.cse.cuhk.edu.hk,5070,403
local-p2p.qq.com,443,proxy.cse.cuhk.edu.hk,5070,503
local-p2p.qq.com,443,proxy.cse.cuhk.edu.hk,5070,503
mtalk.google.com,5228,proxy.cse.cuhk.edu.hk,5070,403
qd-update.qq.com,8080,proxy.cse.cuhk.edu.hk,5070,403
mtalk.google.com,5228,proxy.cse.cuhk.edu.hk,5070,403
mtalk.google.com,5228,proxy.cse.cuhk.edu.hk,5070,403
mtalk.google.com,5228,proxy.cse.cuhk.edu.hk,5070,403
mtalk.google.com,5228,proxy.cse.cuhk.edu.hk,5070,403
i2.itc.cn,80,proxy.cse.cuhk.edu.hk,5070,503
qd-update.qq.com,8080,proxy.cse.cuhk.edu.hk,5070,403
qd-update.qq.com,8080,proxy.cse.cuhk.edu.hk,5070,403
