var1,var2
201706092018_0024_m_000003_1012,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000003
201706092018_0024_m_000004_1026,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000004
201706092018_0024_m_000002_998,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000002
201706092018_0024_m_000000_970,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000000
201706092018_0024_m_000001_984,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000001
201706092018_0024_m_000044_1129,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000044
201706092018_0024_m_000043_1128,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000043
201706092018_0024_m_000040_1125,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000040
201706092018_0024_m_000042_1127,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000042
201706092018_0024_m_000041_1126,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000041
201706092018_0024_m_000083_1138,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000083
201706092018_0024_m_000084_1141,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000084
201706092018_0024_m_000080_1135,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000080
201706092018_0024_m_000082_1137,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000082
201706092018_0024_m_000081_1136,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000081
201706092018_0024_m_000124_1151,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000124
201706092018_0024_m_000120_1145,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000120
201706092018_0024_m_000122_1147,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000122
201706092018_0024_m_000121_1146,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000121
201706092018_0024_m_000123_1150,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000123
201706092018_0024_m_000160_1155,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000160
201706092018_0024_m_000163_1158,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000163
201706092018_0024_m_000164_1159,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000164
201706092018_0024_m_000162_1157,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000162
201706092018_0024_m_000161_1156,10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000161
201706092018_0025_m_000004_1199,10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000004
201706092018_0025_m_000003_1198,10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000003
201706092018_0025_m_000000_1166,10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000000
201706092018_0025_m_000002_1194,10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000002
201706092018_0025_m_000001_1180,10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000001
