var1,var2,var3,var4
1072,856,210,6
1114,885,223,6
1074,869,199,6
1078,851,219,8
1077,865,206,6
38,11,27,0
42,12,30,0
41,15,26,0
40,7,33,0
42,13,28,1
42,-4131,4172,1
41,-4122,4162,1
42,-4121,4162,1
42,-4138,4179,1
42,-4134,4175,1
39,-147,186,0
39,-147,186,0
41,-139,179,1
38,-156,194,0
39,-159,198,0
38,-170,208,0
41,-171,212,0
41,-160,200,1
38,-172,210,0
40,-173,213,0
38,14,24,0
38,12,26,0
41,19,22,0
41,16,25,0
40,5,35,0
39,-141,180,0
40,-129,169,0
41,-134,175,0
39,-123,162,0
42,-125,166,1
39,-85,123,1
40,-77,117,0
39,-81,119,1
40,-78,117,1
42,-79,120,1
39,-107,146,0
41,-100,141,0
42,-99,141,0
39,-103,142,0
42,-101,143,0
39,-110,149,0
39,-105,144,0
42,-103,144,1
41,-107,148,0
42,-107,148,1
38,17,21,0
41,28,13,0
38,18,20,0
40,19,21,0
41,17,24,0
39,-109,148,0
41,-107,148,0
39,-103,142,0
41,-104,144,1
42,-107,149,0
39,-73,111,1
40,-75,114,1
41,-75,115,1
40,-75,114,1
42,-67,108,1
39,-124,163,0
38,-123,161,0
41,-126,167,0
40,-127,167,0
41,-115,155,1
40,-95,135,0
39,-96,135,0
42,-95,137,0
42,-97,139,0
43,-85,127,1
39,22,17,0
41,20,21,0
40,20,20,0
41,16,25,0
40,26,14,0
37,-162,199,0
40,-157,197,0
39,-157,196,0
38,-146,184,0
40,-156,196,0
39,-76,114,1
42,-73,114,1
42,-73,114,1
41,-67,107,1
40,-74,113,1
39,-90,129,0
40,-93,133,0
39,-90,129,0
38,-82,120,0
42,-92,133,1
40,-95,135,0
39,-96,135,0
41,-98,139,0
40,-99,139,0
40,-95,135,0
38,19,19,0
39,20,19,0
38,19,19,0
40,17,23,0
42,18,24,0
39,-104,143,0
41,-104,145,0
39,-106,145,0
39,-106,145,0
43,-104,146,1
42,-69,110,1
40,-71,110,1
39,-73,111,1
44,-72,115,1
42,-71,112,1
38,-77,115,0
40,-76,115,1
40,-75,115,0
42,-74,115,1
42,-74,115,1
40,-79,119,0
41,-82,123,0
41,-82,123,0
41,-67,107,1
42,-66,107,1
38,23,15,0
40,20,20,0
41,23,18,0
39,18,21,0
39,18,21,0
38,-119,157,0
38,-119,157,0
39,-126,165,0
40,-111,151,0
41,-110,151,0
38,-59,96,1
39,-59,98,0
41,-59,100,0
41,-59,99,1
41,-58,98,1
37,-88,125,0
39,-86,125,0
39,-86,125,0
41,-84,125,0
40,-85,125,0
40,19,21,0
39,20,19,0
39,21,18,0
41,18,23,0
40,18,22,0
39,-134,173,0
40,-130,170,0
40,-132,172,0
42,-132,173,1
40,-129,168,1
40,-340,380,0
40,-337,376,1
42,-343,384,1
39,-342,381,0
41,-343,384,0
39,-397,436,0
38,-405,443,0
40,-400,440,0
38,-390,428,0
41,-398,439,0
37,-87,124,0
39,-79,118,0
39,-86,125,0
42,-81,122,1
41,-83,123,1
40,-82,122,0
39,-102,141,0
38,-112,150,0
40,-107,147,0
40,-116,156,0
38,-62,100,0
38,-45,83,0
38,-37,75,0
37,-54,91,0
37,-62,99,0
38,-727,765,0
41,-707,748,0
39,-700,739,0
39,-690,729,0
41,-699,740,0
47,-8758,8800,5
55,-8764,8814,5
55,-8768,8818,5
59,-8772,8826,5
60,-8772,8827,5
42,25,16,1
41,21,20,0
41,20,20,1
42,23,19,0
42,20,21,1
54,21,28,5
57,11,41,5
53,7,41,5
58,7,46,5
65,10,45,10
45,19,26,0
41,24,17,0
38,18,20,0
39,18,21,0
42,22,19,1
48,8,35,5
48,10,33,5
51,3,43,5
56,10,40,6
58,13,40,5
42,17,24,1
41,21,20,0
39,20,18,1
40,22,18,0
39,24,14,1
49,16,28,5
53,14,34,5
52,13,34,5
50,7,38,5
52,2,45,5
38,16,22,0
38,24,14,0
43,23,19,1
38,20,18,0
41,20,21,0
47,5,37,5
53,15,33,5
54,17,32,5
50,4,41,5
54,8,41,5
40,13,26,1
42,26,16,0
39,23,16,0
38,21,17,0
42,20,22,0
48,5,38,5
52,7,40,5
56,7,44,5
52,7,40,5
41,16,25,0
54,5,41,8
38,34,4,0
42,24,17,1
42,22,19,1
39,20,18,1
46,16,25,5
51,12,34,5
50,3,42,5
41,18,23,0
50,6,39,5
50,2,43,5
42,24,18,0
38,23,15,0
43,17,25,1
38,12,26,0
47,17,23,7
53,8,40,5
53,12,36,5
41,9,31,1
48,17,25,6
51,8,38,5
40,24,16,0
42,22,19,1
40,13,27,0
38,18,20,0
39,-108,146,1
42,-77,118,1
41,-71,111,1
39,-64,102,1
42,-66,107,1
40,26,13,1
42,13,28,1
40,15,25,0
42,24,17,1
43,13,29,1
40,14,25,1
39,12,26,1
42,13,28,1
40,10,29,1
41,11,29,1
42,19,22,1
39,15,24,0
40,14,26,0
39,13,25,1
42,16,25,1
40,17,22,1
41,19,21,1
41,14,25,2
41,11,29,1
41,19,21,1
42,14,27,1
41,35,5,1
41,34,6,1
42,34,7,1
108,28,79,1
40,-27,66,1
42,-28,69,1
41,-24,64,1
41,-15,55,1
41,11,29,1
41,31,9,1
39,27,11,1
40,20,19,1
42,27,14,1
39,17,21,1
39,-790,829,0
38,-784,822,0
39,-784,823,0
41,-768,809,0
49,-793,841,1
38,23,15,0
40,16,24,0
42,13,28,1
39,23,16,0
42,13,29,0
40,21,19,0
39,19,20,0
41,17,24,0
41,12,28,1
42,17,24,1
40,19,21,0
40,20,20,0
39,15,24,0
40,15,25,0
42,16,25,1
42,22,19,1
38,18,20,0
42,14,28,0
39,15,23,1
43,15,27,1
41,17,23,1
41,17,24,0
40,27,13,0
40,26,14,0
42,16,25,1
40,18,22,0
41,19,22,0
40,15,25,0
42,16,25,1
40,14,25,1
41,23,18,0
41,19,22,0
38,14,24,0
42,19,22,1
40,14,26,0
40,-79,118,1
39,-75,113,1
40,-80,119,1
41,-85,125,1
42,-74,115,1
39,18,20,1
41,16,24,1
43,25,17,1
41,19,21,1
42,24,17,1
39,19,19,1
41,21,19,1
39,15,23,1
42,18,23,1
43,15,27,1
40,20,19,1
40,20,19,1
39,18,20,1
41,27,14,0
41,15,25,1
39,16,22,1
41,18,22,1
42,20,21,1
43,15,27,1
41,15,25,1
41,23,17,1
38,18,20,0
42,18,23,1
39,18,20,1
43,14,28,1
