var1,var2,var3
Package_for_KB3121255~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2656356~31bf3856ad364e35~amd64~~6.1.1.1,80,112
Package_for_KB3108664~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3115858~31bf3856ad364e35~amd64~~6.1.1.0,80,112
Package_for_KB3127220~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3060716~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3006137~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3067903~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3086255~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3146706~31bf3856ad364e35~amd64~~6.1.1.2,112,112
Package_for_KB3182203~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB3075226~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB3185319~31bf3856ad364e35~amd64~~11.2.1.0,112,112
Package_for_KB3033929~31bf3856ad364e35~amd64~~6.1.1.1,80,112
Package_for_KB2978742~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3177186~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB3055642~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3078601~31bf3856ad364e35~amd64~~6.1.1.5,112,112
Package_for_KB3147071~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB3019978~31bf3856ad364e35~amd64~~6.1.1.2,80,0
Package_for_KB2563227~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3126587~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB2789645~31bf3856ad364e35~amd64~~6.1.1.0,80,112
Package_for_KB3138901~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2607047~31bf3856ad364e35~amd64~~6.1.1.1,0,0
Package_for_KB3011780~31bf3856ad364e35~amd64~~6.1.1.5,112,112
Package_for_KB3170455~31bf3856ad364e35~amd64~~6.1.1.2,112,112
Package_for_KB2891804~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB3156017~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3084135~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2560656~31bf3856ad364e35~amd64~~6.1.1.2,112,112
Package_for_KB3184471~31bf3856ad364e35~amd64~~6.1.1.1,0,0
Package_for_KB3146963~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2918077~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2716513~31bf3856ad364e35~amd64~~6.1.1.0,80,0
Package_for_KB2489256~31bf3856ad364e35~amd64~~6.1.1.1,80,0
Package_for_KB3138962~31bf3856ad364e35~amd64~~6.1.1.0,80,112
Package_for_KB2552343~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3059317~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2973201~31bf3856ad364e35~amd64~~6.1.1.2,112,112
Package_for_KB3072305~31bf3856ad364e35~amd64~~6.1.1.2,112,112
Package_for_KB3078667~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3020369~31bf3856ad364e35~amd64~~6.1.1.1,80,112
Package_for_KB2943357~31bf3856ad364e35~amd64~~6.1.1.3,112,112
Package_for_KB3168965~31bf3856ad364e35~amd64~~6.1.1.2,80,112
Package_for_KB2620704~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-TopLevel~31bf3856ad364e35~amd64~~7.1.7601.16492,112,112
Package_for_KB2763523~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB3075220~31bf3856ad364e35~amd64~~6.1.1.0,80,0
Package_for_KB2813347~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3080446~31bf3856ad364e35~amd64~~6.1.1.2,80,112
Package_for_KB2515325~31bf3856ad364e35~amd64~~6.1.1.0,80,112
Package_for_KB2957189~31bf3856ad364e35~amd64~~6.1.1.1,80,112
Package_for_KB2718704~31bf3856ad364e35~amd64~~6.1.1.0,80,112
Package_for_KB2479943~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3138612~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Microsoft-Hyper-V-Integration-Services-Package~31bf3856ad364e35~amd64~~6.3.9600.17681,112,0
Package_for_KB3107998~31bf3856ad364e35~amd64~~6.1.1.2,112,112
Package_for_KB3071756~31bf3856ad364e35~amd64~~6.1.1.2,112,112
Package_for_KB2840631~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2631813~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB2640148~31bf3856ad364e35~amd64~~6.1.2.0,112,112
Package_for_KB3093513~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2894844~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB3108670~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2547666~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2798162~31bf3856ad364e35~amd64~~6.1.1.5,80,112
Package_for_KB2574819~31bf3856ad364e35~amd64~~6.1.2.0,112,112
Microsoft-Windows-RDP-BlueIP-Package-TopLevel~31bf3856ad364e35~amd64~~7.2.7601.16415,112,112
Package_for_KB2857650~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB3118401~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB2585542~31bf3856ad364e35~amd64~~6.1.1.3,80,112
Package_for_KB2931356~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2900986~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB2985461~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB3092601~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2836942~31bf3856ad364e35~amd64~~6.1.1.0,80,112
Package_for_KB2937610~31bf3856ad364e35~amd64~~6.1.1.3,112,112
Package_for_KB3035126~31bf3856ad364e35~amd64~~6.1.1.2,112,112
Package_for_KB3076895~31bf3856ad364e35~amd64~~6.1.1.1,80,112
Package_for_KB3021674~31bf3856ad364e35~amd64~~6.1.1.2,112,112
Package_for_KB2919469~31bf3856ad364e35~amd64~~6.1.1.0,112,112
Package_for_KB2823180~31bf3856ad364e35~amd64~~6.1.1.0,0,0
Package_for_KB2809215~31bf3856ad364e35~amd64~~6.1.1.1,112,0
Package_for_KB2809900~31bf3856ad364e35~amd64~~6.1.1.0,0,0
Package_for_KB3150220~31bf3856ad364e35~amd64~~6.1.1.1,112,112
Package_for_KB3175024~31bf3856ad364e35~amd64~~6.1.2.0,112,112
