var1,var2,var3
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
2,10.10.34.12,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
3,10.10.34.13,3888
2,10.10.34.12,3888
